course_structure,program_type,course_code
quarter,grad,anim
quarter,grad,arch
quarter,grad,aadm
quarter,grad,arth
quarter,grad,aaml
quarter,grad,dsre
quarter,grad,digm
quarter,grad,dmvp
quarter,grad,fash
quarter,grad,gmap
quarter,grad,intr
quarter,grad,musl
quarter,grad,rmer
quarter,grad,scrp
quarter,grad,tvmn
quarter,grad,urbs
quarter,grad,uxid
quarter,grad,vrim
quarter,grad,vsst
quarter,grad,west
quarter,grad,cie
quarter,grad,coop
quarter,grad,bio
quarter,grad,chem
quarter,grad,com
quarter,grad,ccm
quarter,grad,cw
quarter,grad,envp
quarter,grad,envs
quarter,grad,geo
quarter,grad,ling
quarter,grad,math
quarter,grad,phys
quarter,grad,psci
quarter,grad,psy
quarter,grad,plcy
quarter,grad,pub
quarter,grad,scts
quarter,grad,acct
quarter,grad,bsan
quarter,grad,stat
quarter,grad,stat
quarter,grad,econ
quarter,grad,entp
quarter,grad,fin
quarter,grad,busn
quarter,grad,hsad
quarter,grad,inds
quarter,grad,intb
quarter,grad,blaw
quarter,grad,mis
quarter,grad,mgmt
quarter,grad,opr
quarter,grad,mntg
quarter,grad,opr
quarter,grad,opgb
quarter,grad,pom
quarter,grad,proj
quarter,grad,smt
quarter,grad,tax
quarter,grad,sced
quarter,grad,cs
quarter,grad,ct
quarter,grad,ci
quarter,grad,dsci
quarter,grad,info
quarter,grad,se
quarter,grad,ae
quarter,grad,chem
quarter,grad,cive
quarter,grad,caee
quarter,grad,cmgt
quarter,grad,ecec
quarter,grad,ecep
quarter,grad,eces
quarter,grad,ece
quarter,grad,egeo
quarter,grad,egmt
quarter,grad,et
quarter,grad,engr
quarter,grad,enve
quarter,grad,mate
quarter,grad,mem
quarter,grad,peng
quarter,grad,real
quarter,grad,syse
quarter,grad,ecet
quarter,grad,npm
quarter,grad,prst
quarter,grad,lstu
quarter,grad,nupr
quarter,grad,bacs
quarter,grad,cit
quarter,grad,cftx
quarter,grad,cftp
quarter,grad,ctcn
quarter,grad,fdscfood
quarter,grad,hrsc
quarter,grad,hrm
quarter,grad,ips
quarter,grad,neur
quarter,grad,nurs
quarter,grad,nhp
quarter,grad,nfs
quarter,grad,ptrs
quarter,grad,pa
quarter,grad,rhab
quarter,grad,rsch
quarter,grad,bst
quarter,grad,chp
quarter,grad,eoh
quarter,grad,epi
quarter,grad,hmp
quarter,grad,pbhl
quarter,grad,bmes
quarter,grad,edae
quarter,grad,aba
quarter,grad,crtv
quarter,grad,ell
quarter,grad,ehrd
quarter,grad,eit
quarter,grad,edlt
quarter,grad,edul
quarter,grad,edup
quarter,grad,edut
quarter,grad,edgi
quarter,grad,edam
quarter,grad,edls
quarter,grad,edpo
quarter,grad,edhe
quarter,grad,istm
quarter,grad,mted
quarter,grad,edsp
quarter,grad,edex
quarter,grad,scl
